City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
228,Ballina,AU,71.78,broken clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
229,Porto Novo,BJ,82.22,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
232,Kawalu,ID,71.33,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
236,Bowen,AU,70.02,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
238,Kudat,MY,75.29,few clouds,6.8837,116.8477,Dream Garden Hotel
242,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
247,Bahia De Caraquez,EC,80.78,broken clouds,-0.6,-80.4167,Saiananda Eco-Hotel
248,Zaraza,VE,85.23,overcast clouds,9.3503,-65.3245,Hotel Zaraza
252,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
255,Kindu,CD,71.06,broken clouds,-2.95,25.95,Résidence Okanda
261,San Ignacio,BZ,82.54,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
262,Sao Gabriel Da Cachoeira,BR,80.38,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
268,Acapulco,MX,85.82,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
270,Tautira,PF,87.82,scattered clouds,-17.7333,-149.15,Pension Oaoa
274,Belmonte,BR,82.4,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
275,Tijucas,BR,74.03,broken clouds,-27.2414,-48.6336,Hotel do Valle
276,Hambantota,LK,77.67,broken clouds,6.1241,81.1185,Bungalow 63
279,Tual,ID,84.27,broken clouds,-5.6667,132.75,Grand Vilia Hotel
280,Leticia,CO,82.45,moderate rain,-4.2153,-69.9406,Hotel Amazon Bed and Breakfast / Hotel Amazon B&B
286,Itoman,JP,71.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
287,Pijijiapan,MX,90.0,broken clouds,15.7011,-93.23,Hotel Rosita
289,Mandiana,GN,79.93,clear sky,10.6333,-8.6833,Motels rouzo
291,Moreno,BR,81.55,scattered clouds,-8.1186,-35.0922,Mirante da capadócia
293,Chuy,UY,70.2,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
295,Novo Aripuana,BR,77.67,light rain,-5.1206,-60.3797,POUSADA Flexy
298,Nabire,ID,74.82,broken clouds,-3.3667,135.4833,Hotel Nusantara Nabire
299,Mount Isa,AU,74.97,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
300,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
302,Manta,EC,80.38,few clouds,-0.95,-80.7333,Balandra Hotel
306,Moerai,PF,75.42,broken clouds,-22.4333,-151.3333,Le Manotel
307,Sampit,ID,73.31,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
308,Kolokani,ML,80.92,few clouds,13.5728,-8.0339,Lycee Famolo Coulibalibali De Kolokani
315,Lundazi,ZM,71.92,scattered clouds,-12.2929,33.1782,Knox Lodge
316,Riachao Das Neves,BR,81.5,broken clouds,-11.7461,-44.91,Casa Costa
319,Vallenar,CL,78.19,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
321,Buala,SB,82.2,light rain,-8.145,159.5921,Maringe Lagoon Lodge
322,Bourail,NC,75.13,broken clouds,-21.5667,165.4833,Motel Allamanda
323,Port Moresby,PG,78.22,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
324,Hervey Bay,AU,77.04,scattered clouds,-25.2986,152.8535,Shelly Bay Resort
325,Dolores,AR,77.13,clear sky,-36.3132,-57.6792,Apart Hotel - Arianos
327,Nouakchott,MR,76.93,overcast clouds,18.0858,-15.9785,HOTEL IMAN
328,Sao Joao Da Barra,BR,77.09,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
329,Carutapera,BR,80.38,scattered clouds,-1.195,-46.02,Lidera
336,Daru,PG,80.78,overcast clouds,-9.0763,143.2092,Daru Lodge
340,Meulaboh,ID,75.79,overcast clouds,4.1363,96.1285,Kost Pria
341,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
342,Suarez,CO,70.18,overcast clouds,2.954,-76.6964,Hotel Estrella Dorada
343,Mecca,SA,75.0,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
346,Khanu Woralaksaburi,TH,74.32,light rain,16.0617,99.8606,แฟลตตำรวจ บ้านดาบโก ดอกฝิ่น
352,Tutoia,BR,87.78,scattered clouds,-2.7619,-42.2744,Pousada Guará's
353,Samarai,PG,81.36,few clouds,-10.6167,150.6667,Nuli Sapi
354,Grand Gaube,MU,76.37,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
355,Dingle,PH,75.4,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
356,Bata,GQ,78.96,moderate rain,1.8639,9.7658,Hotel Elik Melen
357,Noumea,NC,77.0,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
363,Kilindoni,TZ,79.93,overcast clouds,-7.9139,39.6668,Bustani B&B
366,Port Keats,AU,81.7,light rain,-14.25,129.55,TDC Village (Hundred Man Camp)
372,Atambua,ID,74.8,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
374,Eyl,SO,76.73,broken clouds,7.9803,49.8164,Amiin Hotel
377,Payo,ID,71.49,overcast clouds,-3.7508,103.6372,Mess keban agung
379,Tambura,SS,74.88,broken clouds,5.6,27.4667,Rikito Lodge
384,Nazca,PE,79.5,overcast clouds,-14.8333,-74.95,Casa Andina Standard Nasca
386,Port-Gentil,GA,79.59,moderate rain,-0.7193,8.7815,Fengshui Residence
388,Kathu,TH,82.69,heavy intensity rain,7.9178,98.3332,Novotel Phuket Resort
389,Mocuba,MZ,74.71,clear sky,-16.8392,36.9856,Phama Lodge
390,San Carlos De Bariloche,AR,76.75,few clouds,-41.1456,-71.3082,Hotel Patagonia
391,Urucara,BR,79.93,overcast clouds,-2.5364,-57.76,Pousada Maria Bonita
401,Port Macquarie,AU,71.89,broken clouds,-31.4333,152.9167,Rydges Port Macquarie
405,Soure,BR,81.41,moderate rain,-0.7167,-48.5233,Casarão da Amazônia
406,Puerto Cabezas,NI,76.96,broken clouds,14.0351,-83.3888,Cabaña Caribe
407,Manokwari,ID,78.44,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
409,Itarema,BR,81.34,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
418,Labuhan,ID,76.57,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
421,Hinundayan,PH,79.3,clear sky,10.3523,125.2506,Tolero's lodge
423,Kieta,PG,77.54,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
424,Pouembout,NC,77.59,scattered clouds,-21.1333,164.9,Camping de Tipenga
427,Sokoto,NG,84.22,clear sky,13.0609,5.239,Shukura Coral Hotel
430,Basoko,CD,74.62,overcast clouds,1.2391,23.616,Jackyna Hotel
432,Kuala Lipis,MY,73.47,overcast clouds,4.1842,102.0468,Lipis Centrepoint Hotel
433,Galesong,ID,79.84,overcast clouds,-5.3166,119.3661,Sapriadi Appy
435,Diego De Almagro,CL,75.33,clear sky,-26.3667,-70.05,hotel luna del desierto
436,Kudahuvadhoo,MV,82.31,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
437,Guamuchil,MX,86.76,scattered clouds,25.4667,-108.1,Hotel Heredia
438,Marsh Harbour,BS,75.25,light rain,26.5412,-77.0636,Abaco Beach Resort
440,Santa Maria,BR,78.1,few clouds,-29.6842,-53.8069,Hotel Morotin
443,Luzilandia,BR,84.85,broken clouds,-3.4578,-42.3703,Pousada Pontes
450,Alyangula,AU,75.07,scattered clouds,-13.8483,136.4192,Groote Eylandt Lodge
451,Alofi,NU,82.29,light rain,-19.0595,-169.9187,Taloa Heights
460,Kirakira,SB,81.5,overcast clouds,-10.4544,161.9205,SanBiz Lodge
461,Calderitas,MX,80.46,broken clouds,18.55,-88.25,Hotel Hacienda Campestre
462,Manggar,ID,76.66,overcast clouds,-2.8833,108.2667,Guest Hotel
467,Trinidad,BO,82.38,broken clouds,-14.8333,-64.9,Hotel Piesta
469,Sadao,TH,76.55,overcast clouds,6.6388,100.4234,Banana Resort Sadao
470,Puerto Baquerizo Moreno,EC,74.39,few clouds,-0.9,-89.6,Hotel los Algarrobos
481,San Policarpo,PH,78.48,broken clouds,12.1791,125.5072,Agapita M. Nicart
485,Mercedes,AR,85.86,clear sky,-34.6515,-59.4307,Posada del Inti Centro
489,Marigot,MF,84.29,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
490,Turmalina,BR,71.42,moderate rain,-17.2856,-42.73,Hotel Cristal
491,Rubiataba,BR,75.36,broken clouds,-15.1644,-49.8033,Pousada dos anjos
492,Acari,PE,74.26,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
494,Juruti,BR,86.49,overcast clouds,-2.1522,-56.0922,Hotel Acauã - ORLA
495,Kapit,MY,72.86,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
496,Agogo,GH,75.31,clear sky,6.8,-1.0819,Tele Centre Hotel
498,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
499,Sinnamary,GF,79.92,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
504,Benemerito De Las Americas,MX,78.89,overcast clouds,16.5167,-90.6439,"Tres Lagunas, Selva Lacandona"
506,Karratha,AU,78.89,light rain,-20.7377,116.8463,ibis Styles Karratha
508,Namibe,AO,72.68,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
509,Ugoofaaru,MV,81.1,broken clouds,5.6667,73.0,Ungoofaaru Inn
513,Buraydah,SA,70.25,broken clouds,26.326,43.975,فندق راحة السلام
514,Kahului,US,86.02,few clouds,20.8947,-156.47,Maui Seaside Hotel
516,Banda Aceh,ID,78.89,light rain,5.5577,95.3222,Sulthan Hotel International
518,Gwadar,PK,70.39,clear sky,25.1216,62.3254,Sadaf Resort
519,Aquiraz,BR,84.29,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
523,Ahuimanu,US,83.91,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
526,Qui Nhon,VN,74.16,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
529,Garoua,CM,84.24,clear sky,9.3,13.4,Dreamland Hotel Annexe Bockle
533,Port Hedland,AU,71.65,clear sky,-20.3167,118.5667,The Esplanade Hotel
540,Maldonado,UY,74.59,clear sky,-34.6667,-54.9167,La Cimarrona
541,Umm Lajj,SA,76.51,clear sky,25.0213,37.2685,Moon light Furnished Units
545,Kurud,IN,75.18,broken clouds,20.8322,81.7214,HOTEL DEWANGAN
550,Nikki,BJ,80.51,clear sky,9.9401,3.2108,Hotel John
555,Ambovombe,MG,74.39,overcast clouds,-25.1667,46.0833,RELAHARA
559,Biloela,AU,70.36,few clouds,-24.4167,150.5,Biloela Silo Motor Inn
560,Bentiu,SS,81.77,scattered clouds,9.2333,29.8333,Mandela hôtel
561,Praia,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
565,Bathsheba,BB,84.81,few clouds,13.2167,-59.5167,Atlantis Hotel
574,Presidencia Roque Saenz Pena,AR,84.16,clear sky,-26.7852,-60.4388,Hotel Aconcagua
575,Songea,TZ,78.15,clear sky,-10.6833,35.65,mtakuja
576,Pisco,PE,71.65,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
577,Gold Coast,AU,75.99,few clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
578,Luganville,VU,74.77,heavy intensity rain,-15.5333,167.1667,The Espiritu Hotel
